Date,Sales,Profit,Event,Day,Festival,Weather
2565/11/05,6552.0,1266.0,Holiday,Saturday,Normal Day,Mostly Sunny
2565/11/06,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Cloudy
2565/11/07,14690.0,2833.0,Normal Day,Monday,Normal Day,Mostly Sunny
2565/11/08,14277.0,2969.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2565/11/09,8160.0,1631.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2565/11/10,5881.0,1290.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2565/11/11,8310.0,1780.0,Normal Day,Friday,Normal Day,Mostly Sunny
2565/11/12,10366.0,2060.0,Holiday,Saturday,Normal Day,Mostly Sunny
2565/11/13,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2565/11/14,4854.0,1110.0,Normal Day,Monday,Normal Day,Partly Clooudy
2565/11/15,8518.0,1799.0,Holiday,Tuesday,End of Buddhist Lent,Mostly Sunny
2565/11/16,4587.0,809.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2565/11/17,9639.0,1899.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2565/11/18,9045.0,1850.0,Normal Day,Friday,Normal Day,Mostly Sunny
2565/11/19,11350.0,2240.0,Holiday,Saturday,Normal Day,Partly Clooudy
2565/11/20,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2565/11/21,8197.0,1590.0,Normal Day,Monday,Normal Day,Mostly Sunny
2565/11/22,7541.0,1419.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2565/11/23,10762.0,2062.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2565/11/24,2088.0,412.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2565/11/25,8306.0,1393.0,Normal Day,Friday,Normal Day,Partly Clooudy
2565/11/26,5025.0,1012.0,Holiday,Saturday,Normal Day,Partly Clooudy
2565/11/27,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2565/11/28,10233.0,1882.0,Normal Day,Monday,Normal Day,Mostly Sunny
2565/11/29,4003.0,729.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2565/11/30,10766.0,2092.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2565/12/01,11775.0,2208.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2565/12/02,9852.0,1957.0,Normal Day,Friday,Normal Day,Mostly Sunny
2565/12/03,13751.0,2560.0,Holiday,Saturday,Normal Day,Mostly Sunny
2565/12/04,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2565/12/05,6764.0,1165.0,Holiday,Monday,Father's Day,Mostly Sunny
2565/12/06,8155.0,1731.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2565/12/07,6890.0,1384.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2565/12/08,7963.0,1454.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2565/12/09,6058.0,1396.0,Normal Day,Friday,Normal Day,Mostly Sunny
2565/12/10,10112.0,1841.0,Holiday,Saturday,Constitution Day,Mostly Sunny
2565/12/11,11051.0,2077.0,Holiday,Sunday,Normal Day,Mostly Sunny
2565/12/12,10562.0,2084.0,Normal Day,Monday,Normal Day,Mostly Sunny
2565/12/13,12825.0,2213.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2565/12/14,7969.0,1706.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2565/12/15,10451.0,2079.0,Holiday,Thursday,Loy Krathong,Mostly Sunny
2565/12/16,8243.0,1781.0,Normal Day,Friday,Normal Day,Mostly Sunny
2565/12/17,7841.0,1323.0,Holiday,Saturday,Normal Day,Mostly Sunny
2565/12/18,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2565/12/19,15047.0,2962.0,Normal Day,Monday,Normal Day,Mostly Sunny
