Date,Product_code,Quantity,Total_Sale
2022-11-05,A1001,2.0,300.0
2022-11-05,A1002,6.0,600.0
2022-11-05,A1004,2.0,278.0
2022-11-05,A1034,1.0,350.0
2022-11-05,B1002,2.0,40.0
2022-11-05,B1003,61.0,915.0
2022-11-05,D1003,4.0,40.0
2022-11-06,A1001,1.0,167.0
2022-11-06,A1002,3.0,272.0
2022-11-06,A1004,3.0,349.0
2022-11-06,A1034,3.0,923.0
2022-11-06,B1002,10.0,209.0
2022-11-06,B1003,18.0,275.0
2022-11-06,D1003,8.0,75.0
2022-11-07,A1001,1.0,167.0
2022-11-07,A1002,3.0,300.0
2022-11-07,A1004,5.0,695.0
2022-11-07,A1034,8.0,2800.0
2022-11-07,B1002,3.0,60.0
2022-11-07,B1003,40.0,600.0
2022-11-07,D1003,9.0,90.0
2022-11-08,A1001,1.0,167.0
2022-11-08,A1002,5.0,500.0
2022-11-08,A1004,11.0,1529.0
2022-11-08,A1034,2.0,700.0
2022-11-08,B1002,5.0,100.0
2022-11-08,B1003,79.0,1185.0
2022-11-08,D1003,20.0,200.0
2022-11-09,A1001,1.0,167.0
2022-11-09,A1002,5.0,500.0
2022-11-09,A1004,3.0,417.0
2022-11-09,A1034,1.0,350.0
2022-11-09,B1002,19.0,380.0
2022-11-09,B1003,25.0,375.0
2022-11-09,D1003,17.0,170.0
2022-11-10,A1001,1.0,167.0
2022-11-10,A1002,4.0,400.0
2022-11-10,A1004,3.0,417.0
2022-11-10,A1034,3.0,1050.0
2022-11-10,B1002,9.0,180.0
2022-11-10,B1003,30.0,450.0
2022-11-10,D1003,10.0,100.0
2022-11-11,A1001,1.0,150.0
2022-11-11,A1002,5.0,500.0
2022-11-11,A1004,4.0,556.0
2022-11-11,A1034,4.0,1400.0
2022-11-11,B1002,2.0,40.0
2022-11-11,B1003,19.0,285.0
2022-11-11,D1003,8.0,75.0
2022-11-12,A1001,2.0,300.0
2022-11-12,A1002,4.0,400.0
2022-11-12,A1004,2.0,278.0
2022-11-12,A1034,4.0,1400.0
2022-11-12,B1002,13.0,260.0
2022-11-12,B1003,26.0,390.0
2022-11-12,D1003,8.0,80.0
2022-11-13,A1001,1.0,167.0
2022-11-13,A1002,3.0,272.0
2022-11-13,A1004,3.0,349.0
2022-11-13,A1034,3.0,923.0
2022-11-13,B1002,10.0,209.0
2022-11-13,B1003,18.0,275.0
2022-11-13,D1003,8.0,75.0
2022-11-14,A1001,1.0,167.0
2022-11-14,A1002,2.0,200.0
2022-11-14,A1004,2.0,278.0
2022-11-14,A1034,3.0,923.0
2022-11-14,B1002,7.0,140.0
2022-11-14,B1003,19.0,285.0
2022-11-14,D1003,8.0,80.0
2022-11-15,A1001,1.0,167.0
2022-11-15,A1002,6.0,600.0
2022-11-15,A1004,4.0,556.0
2022-11-15,A1034,2.0,700.0
2022-11-15,B1002,17.0,340.0
2022-11-15,B1003,35.0,525.0
2022-11-15,D1003,13.0,130.0
2022-11-16,A1001,1.0,167.0
2022-11-16,A1002,2.0,200.0
2022-11-16,A1004,2.0,278.0
2022-11-16,A1034,1.0,350.0
2022-11-16,B1002,10.0,200.0
2022-11-16,B1003,19.0,285.0
